"Core_ID","avg_Flow_rate_L_hr"
"02_fresh",0.12
"03_salt",0.084
"05_fresh",0.081
"06_salt",0.057
"08_fresh",0.12
"09_salt",0.051
"11_fresh",0.093
"12_salt",0.072
"14_fresh",0.138
"15_salt",0.138
"17_fresh",0.144
"18_salt",0.09
"20_fresh",0.138
"21_salt",0.057
"23_fresh",0.057
"24_salt",0.105
"26_fresh",0.102
"27_salt",0.048
"29_fresh",0.102
"30_salt",0.054
"32_fresh",0.069
"33_salt",0.12
"BP_fresh",0.051
"BP_salt",0.096
